feature,importance
nStaH,0.19901357842724496
nStaM,0.17401654416267257
nStaWifi,0.17388046549952169
nStaL,0.13960462303541527
Packet Size,0.13248755698922937
nStaNRT,0.08117269004615367
CWminH,0.027757198259478366
CWmaxH,0.02164603806282148
CWminM,0.010343143217699932
CWminL,0.009156537440634655
CWmaxM,0.0083630157699789
CWmaxL,0.008345043822180919
CWmaxNRT,0.007306239685064638
CWminNRT,0.0069073255819038035
